Untitled Report

Date/Time Generated,11/11/15 3:15 PM
Report Time Zone,Asia/Hong_Kong
Account ID,37103
Date Range,7/20/15 - 10/20/15
Campaign,Equals:SG_ECOM_1502_Display_Room Nights Acquisition 2015 (8479014)

Report Fields
Campaign,Campaign ID,Site (DCM),Placement,Date,Impressions,Clicks,Click Rate,Total Conversions,Click-through Conversions,Total Revenue
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-04,477,0,0.00,7,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-05,432,2,0.46,5,5,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-06,355,0,0.00,16,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-07,356,1,0.28,2,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-08,318,0,0.00,1,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-09,269,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-10,320,3,0.94,3,3,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-11,362,1,0.28,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-12,605,2,0.33,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-13,575,5,0.87,9,9,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-14,683,3,0.44,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-15,938,5,0.53,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-16,737,4,0.54,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-17,684,2,0.29,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-18,794,7,0.88,3,3,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-19,1017,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-20,723,3,0.41,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-21,796,5,0.63,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-22,725,1,0.14,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-23,1021,0,0.00,17,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-24,631,3,0.48,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-25,746,2,0.27,3,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-26,686,0,0.00,13,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-27,853,2,0.23,4,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-28,1036,1,0.10,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-29,11840,7,0.06,6,5,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-09-30,12431,2,0.02,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-01,716,0,0.00,3,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-02,1410,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-03,1238,0,0.00,1,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-04,1199,1,0.08,6,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-05,1189,1,0.08,2,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-06,1303,0,0.00,10,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-07,1562,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-08,1187,0,0.00,8,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-09,1391,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-10,1581,1,0.06,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-11,1625,1,0.06,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-12,1287,2,0.16,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-13,1131,1,0.09,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-14,1211,1,0.08,1,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-15,688,1,0.15,4,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-16,669,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-17,733,0,0.00,5,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-18,789,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-19,712,0,0.00,0,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 120x600 | en | CPM | Standard,2015-10-20,521,0,0.00,1,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-20,4768,2,0.04,4,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-21,5605,4,0.07,16,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-22,7291,15,0.21,18,5,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-23,6216,8,0.13,9,7,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-24,6441,12,0.19,9,8,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-25,6832,7,0.10,15,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-26,5901,8,0.14,11,3,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-27,6987,5,0.07,12,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-28,7270,8,0.11,27,5,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-29,6866,12,0.17,25,9,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-30,7824,10,0.13,63,9,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-07-31,15486,26,0.17,33,4,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-01,14292,19,0.13,8,5,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-02,12944,18,0.14,12,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-03,14577,13,0.09,14,7,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-04,10935,14,0.13,18,3,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-05,8194,7,0.09,8,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-06,7153,4,0.06,8,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-07,6578,5,0.08,6,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-08,6579,6,0.09,3,2,0.000000000
